datetime,tweet_id,screen_name,user_name,retweet_count,favorite_count,text,reply_flag,reply_to_screen_name,timestamp
2020-12-24 02:12:08,1341793727208181762,Twitter,Twitter,100,1041,@TreyNKennedy ðŸ‘€ https://t.co/1CZ6VbgaIL,True,TreyNKennedy,2020-12-29 16:51:06
2020-12-23 09:08:07,1341536025076764674,Twitter,Twitter,55,1420,@callme_kamikaze ðŸ‘€ https://t.co/UT2gblsu2X,True,callme_kamikaze,2020-12-29 16:51:06
2020-12-23 07:38:05,1341513367601754112,Twitter,Twitter,497,7583,@blackprints ðŸ‘€ https://t.co/qwSIVaUcHG,True,blackprints,2020-12-29 16:51:06
2020-12-23 07:37:02,1341513102446256130,Twitter,Twitter,219,4041,@chunkyfila ðŸ‘€ https://t.co/E9GKhyh5cl,True,chunkyfila,2020-12-29 16:51:06
2020-12-23 06:24:59,1341494971405373445,Twitter,Twitter,4,184,@Ac3wastaken ah yes tbt 1100,True,Ac3wastaken,2020-12-29 16:51:06
2020-12-23 05:23:09,1341479410512359427,Twitter,Twitter,13,1372,@daisyvolume6 we prefer the version with the S,True,daisyvolume6,2020-12-29 16:51:06
2020-12-23 05:14:54,1341477335334326275,Twitter,Twitter,125,2903,@ziloow_ it's not too late https://t.co/xy3k6c7ViA,True,ziloow_,2020-12-29 16:51:06
2020-12-23 05:14:25,1341477210918629376,Twitter,Twitter,4,156,@RealAttenshan as long as there's not one more for good luck,True,RealAttenshan,2020-12-29 16:51:06
2020-12-23 05:13:36,1341477005582319617,Twitter,Twitter,31,2406,@rishipuff the things we'd give to be in algebra right now,True,rishipuff,2020-12-29 16:51:06
2020-12-23 05:12:29,1341476726619201536,Twitter,Twitter,18,1547,@mormied and they're moldy,True,mormied,2020-12-29 16:51:06
